Start_frame,End_frame,Participant,Behavior_ID,Behavior_Description
630.01,635.03,P2,2,acknowledgement 
631.07,635.06,P3,9,whispering
657.06,662.15,P3,10,laughing
657.14,664.04,P1,19,judgemental 
669.16,672.19,P3,10,laughing
679.06,692.22,P1,22,harsh repair 
681.08,687.13,P2,22,harsh repair 
715.15,719.96,P1,11,exclamation
715.19,718.14,P3,11,exclamation
734.14,740.1,P3,10,laughing
736.05,741.05,P2,11,exclamation
756.96,761.14,P2,2,acknowledgement 
777.15,782.08,P3,10,laughing
779.19,781.23,P1,10,laughing
800.0,806.97,P2,10,laughing
849.17,868.18,P3,10,laughing
850.03,856.98,P1,10,laughing
882.21,884.25,P3,10,laughing
882.23,889.98,P2,19,judgemental 
925.18,929.11,P2,10,laughing
981.96,988.19,P2,10,laughing
986.11,989.25,P1,10,laughing
986.11,990.09,P3,10,laughing
1002.23,1004.13,P2,19,judgemental 
1026.23,1030.14,P3,2,acknowledgement 
1047.07,1050.05,P2,11,exclamation
649.04,663.08,P3,30,Laugh
733.01,739.25,P3,30,Laugh
733.12,739.17,P2,6,Relevancy
755.96,760.11,P2,3,Answer Question
850.03,867.18,P1,30,Laugh
983.03,989.99,P1,30,Laugh
1022.17,1026.02,P3,6,Relevancy
